0;0;1;0;0;0;0;0.951;0.4025;0.7741;0.5374;0.5595;0.2118;0.5556;0
0;0;1;0;0;0;0;0.951;0.4025;0.7741;0.5374;0.5595;0.2118;0.6556;0
0;0;1;0;0;0;0;0.9419;0.111;0.0816;0.3965;0.4823;0.1294;0.4556;0
0;0;1;0;0;0;0;0.9355;0.1626;0.1054;0.5507;0.4373;0.1412;0.8;0
0;0;1;0;0;0;0;0.9755;0.2895;0.8026;0.7004;0.4984;0.2588;0.3556;0
0;0;1;0;0;0;0;0.9419;0.111;0.0816;0.3965;0.4309;0.1176;0.6556;0
0;0;0;0;0;1;0;0.9045;0.5038;0.7114;0.3965;0.4855;0.3294;0.4556;0
0;0;1;0;0;0;0;0.9626;0.4828;0.828;0.6123;0.8167;0.1765;0.1;0
0;0;0;1;0;0;0;0.8452;0.0196;0.0219;0.3392;0.1447;0.7529;0.3;0
0;0;1;0;0;0;0;0.8761;0.0417;0.0412;0.2335;0.4341;0.3294;0.3;0
0;0;0;0;0;0;1;0.889;0.1761;0.1125;0.2203;0.1961;0.6706;0.3;0
0;0;1;0;0;0;0;0.9213;0.3684;0.6121;0.5507;0.4019;0.6;0.2556;0
0;0;0;0;0;1;0;0.9329;0.4139;0.6493;0.3084;0.6238;0.0471;0.7;0
1;0;0;0;0;0;0;0.9381;0.4869;0.696;0.467;0.5563;0.2824;0.6556;0
1;0;0;0;0;0;0;0.9226;0.3394;0.731;0.2775;0.5048;0.3412;0.2;0
0;0;0;0;0;1;0;0.9819;0.3694;0.7496;0.7489;0.5273;0.4235;0.4556;0
0;0;0;0;1;0;0;0.9471;0.3794;0.7578;0.4229;0.463;0.3765;0.0556;0
0;0;0;1;0;0;0;0.9419;0.3901;0.7663;0.2775;0.5788;0.3529;0.3556;0
0;0;0;1;0;0;0;0.9574;0.4683;0.8192;0.4053;0.6206;0;0.0556;0
0;0;0;1;0;0;0;0.9574;0.4683;0.8192;0.4053;0.746;0.1412;0.2;0
0;0;0;1;0;0;0;0.9574;0.4683;0.8192;0.4053;0.6495;0.2235;0.2;0
1;0;0;0;0;0;0;0.9652;0.5107;0.8452;0.3568;0.7428;0.2471;0.3556;0
0;1;0;0;0;0;0;0.9419;0.1196;0.0855;0.3436;0.4887;0.1176;0.5;0
0;1;0;0;0;0;0;0.9226;0.3301;0.7228;0.3921;0.4019;0.5176;0.6;0
0;0;1;0;0;0;0;0.9419;0.1196;0.0855;0.3436;0.4887;0.1059;0.5556;0
1;0;0;0;0;0;0;0.9497;0.2901;0.563;0.6476;0.5981;0.2;0.6556;0
1;0;0;0;0;0;0;0.9381;0.4869;0.696;0.467;0.5145;0.3294;0.5;0
0;0;0;0;0;0;1;0.9342;0.3518;0.7399;0.2555;0.6817;0.0824;0.2556;0
1;0;0;0;0;0;0;0.9161;0.3063;0.8168;0.2115;0.5016;0.5765;0.1;0
0;1;0;0;0;0;0;0.8413;0.0238;0.0262;0.1145;0.3376;0.3882;0.1556;0
0;1;0;0;0;0;0;0.649;0.0045;0.0089;0.0308;0.4887;0.1059;0.5556;0
1;0;0;0;0;0;0;0.9381;0.4869;0.696;0.467;0.3023;0.8471;0.4556;0
1;0;0;0;0;0;0;0.9381;0.4869;0.696;0.467;0.5659;0.2824;0.5556;0
1;0;0;0;0;0;0;0.9381;0.4869;0.696;0.467;0.5659;0.2824;0.5556;0
0;0;0;0;0;1;0;0.9045;0.5038;0.7114;0.3965;0.3923;0.6;0.5556;0
0;0;0;0;0;1;0;0.9819;0.3694;0.7496;0.7489;0.5756;0.2941;0.4;0
0;1;0;0;0;0;0;0.8181;0.009;0.0016;0.1278;0.0997;0.7412;0.3;0
0;0;1;0;0;0;0;0.8671;0.0634;0.0579;0.1233;0.3376;0.4353;0.6556;0
0;0;0;1;0;0;0;0.9381;0.102;0.0779;0.3304;0.5145;0.1647;0.3;0
1;0;0;0;0;0;0;0.9226;0.3394;0.731;0.2775;0.6174;0.2118;0.3;0
0;1;0;0;0;0;0;0.9523;0.2994;0.81;0.3128;0.582;0.3529;0.3;0
0;0;0;0;0;0;1;0.9019;0.3125;0.8233;0.3128;0.4887;0.4824;0.5556;0
0;0;1;0;0;0;0;0.8671;0.0634;0.0579;0.1233;0.3698;0.3294;0.6;0
0;0;1;0;0;0;0;0.9419;0.111;0.0816;0.3965;0.5338;0.0353;0.4556;0
1;0;0;0;0;0;0;0.9161;0.3063;0.8168;0.2115;0.6624;0.2824;0.3556;0
0;0;0;0;0;0;1;0.9432;0.2667;0.8402;0.4053;0.537;0.2353;0.2556;0
0;0;0;0;0;1;0;0.8955;0.0848;0.07;0.1674;0.4373;0.1412;0.8;0
